iter	Passed	Remaining
1045	39734	74227
1046	39771	74186
1047	39811	74151
1048	39846	74109
1049	39890	74082
1050	39940	74067
1051	39994	74057
1052	40038	74030
1053	40085	74008
1054	40137	73998
1055	40175	73959
1056	40212	73919
1057	40249	73879
1058	40285	73837
1059	40320	73793
1060	40358	73755
1061	40393	73712
1062	40432	73676
1063	40470	73637
1064	40504	73593
1065	40544	73557
1066	40581	73518
1067	40622	73484
1068	40670	73466
1069	40710	73431
1070	40751	73399
1071	40795	73371
1072	40839	73343
1073	40883	73316
1074	40923	73281
1075	40959	73240
1076	40995	73198
1077	41032	73158
1078	41075	73128
1079	41114	73092
1080	41151	73052
1081	41193	73021
1082	41229	72978
1083	41269	72945
1084	41308	72908
1085	41346	72871
1086	41383	72830
1087	41419	72789
1088	41455	72746
1089	41495	72711
1090	41533	72673
1091	41570	72634
1092	41606	72592
1093	41643	72552
1094	41680	72513
1095	41724	72485
1096	41767	72454
1097	41805	72417
1098	41842	72377
1099	41881	72341
1100	41920	72303
1101	41955	72261
1102	41990	72217
1103	42029	72181
1104	42069	72146
1105	42107	72107
1106	42145	72069
1107	42183	72031
1108	42221	71994
1109	42256	71950
1110	42289	71904
1111	42325	71862
1112	42362	71822
1113	42405	71792
1114	42447	71761
1115	42488	71728
1116	42524	71686
1117	42566	71655
1118	42602	71614
1119	42636	71569
1120	42675	71531
1121	42715	71497
1122	42758	71467
1123	42799	71434
1124	42836	71393
1125	42877	71360
1126	42916	71324
1127	42953	71285
1128	42992	71247
1129	43029	71207
1130	43067	71170
1131	43105	71130
1132	43146	71098
1133	43182	71056
1134	43220	71018
1135	43254	70974
1136	43290	70931
1137	43326	70890
1138	43360	70846
1139	43396	70805
1140	43431	70762
1141	43470	70725
1142	43509	70688
1143	43549	70654
1144	43588	70617
1145	43634	70592
1146	43678	70562
1147	43715	70523
1148	43754	70487
1149	43794	70452
1150	43840	70426
1151	43881	70393
1152	43918	70353
1153	43956	70315
1154	43997	70281
1155	44040	70251
1156	44084	70223
1157	44130	70196
1158	44172	70165
1159	44213	70132
1160	44253	70096
1161	44295	70063
1162	44332	70024
1163	44373	69990
1164	44412	69954
1165	44460	69931
1166	44511	69913
1167	44558	69889
1168	44608	69869
1169	44666	69862
1170	44716	69842
1171	44754	69804
1172	44797	69773
1173	44846	69753
1174	44903	69743
1175	44952	69722
1176	44995	69690
1177	45039	69661
1178	45095	69651
1179	45134	69614
1180	45176	69581
1181	45220	69552
1182	45261	69518
1183	45304	69487
1184	45342	69448
1185	45387	69420
1186	45427	69385
1187	45478	69365
1188	45527	69344
